新聞,類別
股價波動/股民獲利/股民結構/減少/淨利。,0
競爭/股價/投資/業績/股票,1
收購/自營商買超/熱門股/投資風險/樂觀氛圍,0
收購/競爭/持股/交易/表現,2
競爭/收購/合作/持股/交易,2
投資/股價/漲幅/0050指數/波動度/單一股風險/分散投資/指數型ETF/投資策略/穩健賺錢,0
競爭/投資/風險/設廠/芯片價格,0
持股/收益/股價波動/股災/股東,1
上漲/漲停/強勢表現/跌停/提醒投資,0
競爭/股價下跌/指數下跌/市場震盪/風險,0
下跌/科技股/美股/陸股/救市措施,0
競爭/股指期/投資人/台股/台積電,0
收盤點數/成交量/股價表現/政策受惠股/漲跌幅,0
下挫/股市/預期/股價/電費調漲,0
天氣/科技公司/颱風影響/防災措施/股價上漲,0
收購/合作/競爭/持股/市場情勢,2
股價大漲/外資賣超/人工智慧晶片/電價調漲/9月營收,0
合作/新車款/展示/設計/推出,3
競爭/貿易/市場擴張/經濟數據/股票市場,0
收購/全球布局/生產基地/營收增長/投資,1
收購/競爭/持股/市場動向/投資建議,1
自然災害/天氣警報/颱風警報/降雨警報/風力增強,4
合作/多邊演習/南海/台灣海峽/驅逐艦,3
投資/ETF/定期定額/長線投入/獲利/利潤/賣出/持續投資/每月定期/長期利潤/股息/大跌/分批買進/成本,0
合作/宣傳/討論/節目/分享,3
收購/合作/競爭/持股/交易,2
競爭/潛能發揮/持久努力/影片分享/江湖人物,3
自然災害/防災措施/海浪/水量增加/陣風,3
競爭/合作/潛能/韌性/江湖,3
合作/職棒生涯/亞洲選球王/冠軍/個人成績,3
合作/競爭/供應/降價促銷/民眾囤貨,3
合作/競爭/社群媒體/演藝圈/粉絲,3
房市景氣循環/央行干預投資/買房機會/房市熱度調整/房地產市場景氣,4
競爭/關閉領空/取消航班/暫停航班/飛越領空,3
競爭/交易/指數/政策措施/市場流入,0
收購/合作/競爭/持股/交易,2
競爭/交易/持股/合作/收購,2
合作/環保政策/國際交流/資源使用效率/產業升級,3
合作/交易/減持/競爭/持股,2
合作/技術應用/氣象預測/颱風路徑預測/自然災害評估,3
合作/技術應用/天氣預測/自然災害/科技創新,3
競爭/投資者/股價/市場反彈/做空,1
減持/交易/持股/投資組合/股災,1
持股/競爭/合作/減持/交易,2
競爭/持股/財務改革/能源問題/供電穩定,0
交易/持股/投資組合/市值型基金/股息ETF,1
合作/環保政策/循環經濟/全球/產業轉型,3
合作/競爭/創新/硬體升級/智慧助理,3
競爭/減持/交易/持股/市場預測,1
收購/合作/競爭/產品特色/市場表現,1
合作/臨時停泊優惠/碼頭服務/颱風期間/船難安全,3
競爭/排行榜/羽球選手/世界排名/挑戰,3
合作/退役/教練/運動媒體/棒球,3
合作/競爭/退役/棒球選手/冠軍,3
合作/競爭/訓練營/球衣/籃球,3
合作/訓練營/球衣/球員合照/訓練強度,3
婚姻破裂/離婚/家務分擔/法院支持/網路交鋒,3
合作/競爭/學習/颱風假/校園安全,3
童年回憶/橄欖/檳榔/健康警示/快樂找尋,3
合作/獎金/商家/發票/消費品种,3
合作/颱風山陀兒與氣象署合作預測/防風/強風影響西南部地區，需注意防風/防災/南部沿海地區應防颱風暴潮/降雨/強降雨持續，中北部降雨明顯增加/預警/應謹慎防範颱風帶來的降雨變化,3
合作/法律服務/溝通/律師/案件,3
合作/挑戰/政策刺激/去槓桿行動/歷史性轉折點,3
合作/交通安全/公共安全/照顧家屬/撫卹待遺眷。,3
房市檔期/推案量減少/建商延後推案/市況不佳/消費者不需搶房,4
合作/競爭/官威/總統府否認/爭議,3
合作/獎項/金融教育/金融商品/詐騙犯罪,3
競爭/批評/透明揭露/政策分析/壓力增加,3
合作/競爭/營業時間調整/外送/預購商品,3
競爭/運輸/罷工/經濟/大選前景,3
合作/競爭/經濟形勢/政治局/債務,3
競爭/影響/工業用戶/電價上漲/晶片製造商,3
競爭/房價下跌/成交量減少/市區重建局/趋势反转,3
投資/政府支持投資者/基金地位/交易搓合者,0
收購/合作/競爭/增長/旅遊需求,3
